iter	RMSE
0	0.00368019517
1	0.003645857471
2	0.003623233134
3	0.003588039798
4	0.003554744565
5	0.00352674098
6	0.003499531749
7	0.0034700322
8	0.003436192213
9	0.003406595884
10	0.003379536519
11	0.003353645269
12	0.003327533424
13	0.003302816123
14	0.003275106596
15	0.003251748844
16	0.003217664441
17	0.003191352604
18	0.003161253369
19	0.003135238257
20	0.003110691584
21	0.00308858326
22	0.003065081865
23	0.003042500118
24	0.003015306412
25	0.002991143994
26	0.002970363267
27	0.002942138711
28	0.002917233512
29	0.002896456548
30	0.002872763731
31	0.002849295646
32	0.002826991785
33	0.002805550795
34	0.002781468429
35	0.002760545279
36	0.002735871255
37	0.002716561627
38	0.002694224606
39	0.002672239734
40	0.002651741224
41	0.002628631155
42	0.002614645457
43	0.002597432995
44	0.002573423467
45	0.002552704221
46	0.002529597081
47	0.002509327262
48	0.002489615387
49	0.002471692856
50	0.002454335156
51	0.002436867416
52	0.002418889657
53	0.002398766771
54	0.002384575957
55	0.002371534042
56	0.002360271945
57	0.002351610911
58	0.002339568856
59	0.002330246827
60	0.002314671712
61	0.002296446774
62	0.00228179522
63	0.002267952839
64	0.002255082893
65	0.00223901253
66	0.002227694163
67	0.002215654758
68	0.002200572997
69	0.002185881873
70	0.00217611789
71	0.002164401961
72	0.002147783257
73	0.002133551884
74	0.002120167613
75	0.002108143462
76	0.002095491813
77	0.002080683133
78	0.002068260907
79	0.002053205124
80	0.002041446596
81	0.002032837529
82	0.002018326074
83	0.002008259785
84	0.001995964536
85	0.001981993279
86	0.001968383492
87	0.001956815534
88	0.001941427203
89	0.001928304617
90	0.001920110824
91	0.00190773535
92	0.001894841875
93	0.001880128759
94	0.001865969701
95	0.001853061547
96	0.001839290466
97	0.001827082096
98	0.001815970805
99	0.001802421938
100	0.00178823018
101	0.001776286826
102	0.001769681422
103	0.001755619372
104	0.001740875089
105	0.001728632488
106	0.00171717664
107	0.001707006505
108	0.00169203086
109	0.001683964742
110	0.001675104175
111	0.001662601525
112	0.001649605236
113	0.001639677726
114	0.001628916789
115	0.001623481945
116	0.001612469963
117	0.001601133035
118	0.001594522801
119	0.001584637076
120	0.001574560922
121	0.00156165209
122	0.001551846206
123	0.001540334974
124	0.001530293834
125	0.0015203368
126	0.001509672878
127	0.001500786489
128	0.001490459714
129	0.001480291402
130	0.001469002175
131	0.001460364054
132	0.001450289696
133	0.001446565505
134	0.00143717982
135	0.001429903974
136	0.001422360534
137	0.001409643613
138	0.001399617642
139	0.001390922596
140	0.001382442799
141	0.001373160294
142	0.001364511292
143	0.001355392393
144	0.001345325764
145	0.001334425952
146	0.001325613271
147	0.001321560755
148	0.001313222322
149	0.001303949812
150	0.001298876108
151	0.001289435538
152	0.001281920506
153	0.001274403055
154	0.001267259386
155	0.001260083065
156	0.001252501723
157	0.001243394927
158	0.0012338915
159	0.001226241592
160	0.001220383393
161	0.001210859472
162	0.001203185274
163	0.001197479269
164	0.001193112013
165	0.001187396405
166	0.001181112375
167	0.00117346095
168	0.001168100586
169	0.00115969157
170	0.001151434425
171	0.001146574722
172	0.001137295483
173	0.001134747025
174	0.001125137658
175	0.001115200744
176	0.001107154568
177	0.001098485899
178	0.001091213482
179	0.001082877776
180	0.001074793512
181	0.001066505345
182	0.00105928872
183	0.001050105128
184	0.00104163639
185	0.001033576641
186	0.001024012212
187	0.001014833691
188	0.001007028477
189	0.001000246303
190	0.0009911606691
191	0.0009849881088
192	0.0009816818925
193	0.0009731678945
194	0.0009650652168
195	0.0009571678959
196	0.0009497764944
197	0.0009408974277
198	0.000935285164
199	0.0009268883148
200	0.0009177427148
201	0.0009100872956
202	0.0009021621604
203	0.0008956417569
204	0.0008907233726
